name,RA_h,RA_m,RA_s,DecSign,DecAbsDeg,DEC_m,DEC_s,RA_deg,DEC_deg,redshift,Rin,Rout,scaleR,R2500,R2500e,R500,R500e,T2500,T2500e,T500,T500e,K0,K0err,K100,K100err,spec_kT,spec_kT_err,spec_Z,spec_Z_err,Fx,Fx_err,Lx,Lx_err,LXrest,LXrest_err,LXbol,LXbol_err,radial_profile,dof,spec_X2r,max_ap,wtkT,wtkTe,wtZ,wtZe,obsIDs_good,obsIDs_all
--,h,m,s,DE-,DEd,m,s,degree,degree,--,scaleR,scaleR,--,kpc,kpc,kpc,kpc,keV,keV,keV,keV,keV cm2,keV cm2,keV cm2,keV cm2,keV,keV,Zsun,Zsun,erg/s/cm2,erg/s/cm2,erg/s,erg/s,erg/s,erg/s,erg/s,erg/s,--,--,--,arcmin,keV,keV,Zsun,Zsun,--,--
ACCEPT2 cluster name,Right Ascension J2000 (hours),Right Ascension J2000 (minutes),Right Ascension J2000 (seconds),Declination J2000 (sign),Declination J2000 (degrees),Declination J2000 (minutes),Declination J2000 (Seconds),Right Ascension J2000 (decimal degrees),Declination J2000 (decimal degrees),Redshift,Inner radius,Outer radius,Radius scale,R2500 radius,R2500 radius error,R500 radius,R500 radius error,Average temperature R2500,Average temperature R2500 error,Average temperature R500,Average temperature R500 error,Central entropy,Central entropy error,Entropy at 100kpc,Entropy at 100kpc error,Temperature,Temperature error,Metallicity,Metallicity error,--,--,--,--,--,--,--,--,--,--,--,Maximum aperature,--,--,--,--,observation ID,observation ID
SPT-CLJ2034-5936,20,34,9.2,-,59,36,18.56,308.53817,-59.60516,0.92,0.3,1,R2500     ,298,52,687,128,4.821,0.918,5.003,1.052,nan,nan,nan,nan,4.721,0.886,2.98E-01,1.70E-01,1.42E-13,2.03E-14,6.05E+44,8.67E+43,6.29E+44,9.02E+43,8.42E+44,1.21E+44,None      ,1022,1.101,0.631,nan,nan,nan,nan,[12182]   ,[12182]
ABELL_3695,20,34,45.3,-,35,48,43.25,308.68875,-35.81201,0.089,0.3,1,R2500     ,550,23,1235,56,6.524,0.438,6.51,0.46,307.2,36.6,41.8,35.3,6.465,0.427,1.61E-01,8.40E-02,9.73E-12,2.16E-13,1.90E+44,4.21E+42,1.87E+44,4.13E+42,2.67E+44,5.91E+42,./proj_profs/ABELL_3695_kTZ.dat,1022,1.352,5.56,nan,nan,nan,nan,[12274]   ,[12274]
SPT-CLJ2043-5035,20,43,17.5,-,50,35,32.32,310.82306,-50.59231,0.723,0.3,1,R2500     ,356,37,808,88,5.427,0.683,5.497,0.745,15.8,3.1,82.7,8.6,5.436,0.683,1.90E-01,9.90E-02,2.81E-13,2.09E-14,6.60E+44,4.91E+43,6.52E+44,4.86E+43,8.98E+44,6.69E+43,./proj_profs/SPT-CLJ2043-5035_kTZ.dat,1022,1.073,0.82,nan,nan,nan,nan,[13478]   ,[13478]
MACS_J2046.0-3430,20,46,0.5,-,34,30,17.13,311.5021,-34.50476,0.423,0.3,1,R2500     ,428,24,985,66,5.613,0.444,5.825,0.553,6.5,2.1,103.5,6.2,5.606,0.447,2.12E-01,8.60E-02,6.79E-13,3.49E-14,4.33E+44,2.23E+43,4.22E+44,2.17E+43,5.84E+44,3.00E+43,./proj_profs/MACS_J2046.0-3430_kTZ.dat,2047,1.136,1.292,nan,nan,nan,nan,[9377  5816],[5816  9377]
MCXC_J2049.9-3216,20,49,56.1,-,32,16,49.11,312.48395,-32.28031,0.325,0.3,1,R2500     ,528,46,1167,101,7.445,0.974,7.278,0.945,nan,nan,nan,nan,7.423,0.952,2.62E-01,1.09E-01,1.63E-12,6.83E-14,5.59E+44,2.34E+43,5.28E+44,2.21E+43,7.82E+44,3.27E+43,None      ,1022,1.259,1.884,nan,nan,nan,nan,[3283]    ,[3283]
ABELL_3739,21,4,18.9,-,41,20,40.55,316.0787,-41.3446,0.165,0.3,1,R2500     ,516,29,1140,65,6.19,0.553,5.985,0.55,81.9,38.1,151,60.8,6.084,0.527,4.13E-01,1.11E-01,3.95E-12,1.65E-13,2.90E+44,1.21E+43,2.83E+44,1.18E+43,3.97E+44,1.65E+43,./proj_profs/ABELL_3739_kTZ.dat,1022,1.096,3.074,nan,nan,nan,nan,[15130]   ,[15130]
SPT-CLJ2106-5844,21,6,5.1,-,58,44,30.82,316.52143,-58.74189,1.132,0.3,1,R2500     ,329,38,694,72,7.158,0.785,6.391,0.627,nan,nan,nan,nan,7.158,0.782,1.93E-01,9.60E-02,3.52E-13,2.85E-14,2.53E+45,2.05E+44,2.35E+45,1.90E+44,3.45E+45,2.79E+44,None      ,2047,1.044,0.664,nan,nan,nan,nan,[12189  12180],[12180  12189]
IC_1365   ,21,13,55.7,+,2,33,54.56,318.48223,2.56516,0.049,0.3,1,R2500     ,429,17,988,37,4.028,0.265,4.135,0.238,160.8,19.7,71.4,38.4,4.03,0.265,4.42E-01,1.00E-01,1.00E-11,4.41E-13,5.61E+43,2.47E+42,5.60E+43,2.47E+42,7.34E+43,3.23E+42,./proj_profs/IC_1365_kTZ.dat,1022,2.48,7.505,3.966,0.438,0.509,0.083,[10747]   ,[10747]
MACS_J2129-0741,21,29,26.6,-,7,41,26.97,322.36065,-7.69083,0.589,0.3,1,R2500     ,479,44,1073,103,8.119,0.949,8.159,0.995,nan,nan,nan,nan,8.117,0.943,4.54E-01,1.26E-01,9.57E-13,5.28E-14,1.36E+45,7.49E+43,1.23E+45,6.80E+43,1.88E+45,1.04E+44,None      ,2047,1.13,1.207,nan,nan,nan,nan,[3595  3199],[3199  3595]
MACS_J2135-0102,21,35,11,-,1,2,54.34,323.79594,-1.04843,0.325,0.3,1,R2500     ,557,51,1237,117,8.207,1.119,8.126,1.15,nan,nan,nan,nan,8.365,1.066,5.80E-01,1.54E-01,1.49E-12,6.87E-14,5.11E+44,2.35E+43,4.76E+44,2.19E+43,7.31E+44,3.36E+43,None      ,1022,1.246,1.986,nan,nan,nan,nan,[11710]   ,[11710]
