#Name                                       RA                  Dec          z         K0       K100      alpha        Tcl       Lbol    UL?        LHa    UL?       Lrad
#--                                      h:m:s                d:m:s         --   keV.cm^2   keV.cm^2         --        keV    erg/sec     --    erg/sec     --    erg/sec
ABELL_3112                        03:17:57.681         -44:14:17.16     0.0720      11.40     169.12       1.17       4.28      3.280      =      3.360      =    119.000
ABELL_3120                        03:21:56.464         -51:19:35.40     0.0690      17.29     206.17       0.99       4.39      0.000      ?      0.000      =      2.710
ABELL_3158                        03:42:54.675         -53:37:24.36     0.0580     166.01      80.92       0.90       5.50      3.450      <      0.029      <      0.237
ABELL_3266                        04:31:13.304         -61:27:12.59     0.0590      72.45     376.73       0.64       8.35      2.770      <      0.022      <      0.246
ABELL_3364                        05:47:37.698         -31:52:23.61     0.1483     268.55      34.53       1.97       6.59      0.000      ?      0.000      =      7.870
ABELL_3376                        06:02:11.756         -39:56:59.07     0.0456     282.95      58.97       1.71       4.08      0.756      ?      0.000      <      0.134
ABELL_3391                        06:26:21.511         -53:41:44.81     0.0560     367.52      23.56       1.64       6.07      1.440      ?      0.000      <      0.221
ABELL_3395                        06:26:48.463         -54:32:59.21     0.0510     247.20     105.85       1.65       5.13      5.750      ?      0.000      <      0.182
ABELL_3528S                       12:54:40.897         -29:13:38.10     0.0530      31.56     270.04       1.17       4.94      0.000      ?      0.000      =     61.000
ABELL_3558                        13:27:56.854         -31:29:43.78     0.0480     126.15     132.52       2.11       5.51      1.630      <      0.174      =      0.238
ABELL_3562                        13:33:37.800         -31:40:12.04     0.0490      77.42     159.76       0.81       3.80      1.110      <      0.266      <      0.155
ABELL_3571                        13:47:28.434         -32:51:52.45     0.0391      79.31     191.27       0.82       7.60      1.250      <      0.114      <      0.097
ABELL_3581                        14:07:29.777         -27:01:05.88     0.0218       9.51     138.07       1.22       2.10      1.230      =     21.300      =      6.040
ABELL_3667                        20:12:41.231         -56:50:35.70     0.0556     160.43     110.56       0.78       6.72      4.250      <      0.199      <      0.226
ABELL_3822                        21:54:04.203         -57:52:02.71     0.0759     108.66     200.32       0.66       5.45      0.000      ?      0.000      <      0.417
ABELL_3827                        22:01:53.200         -59:56:43.04     0.0984     164.58      94.80       1.34       8.05      0.000      ?      0.000      <      0.724
ABELL_3921                        22:49:57.829         -64:25:42.17     0.0927     101.19     151.49       0.86       5.69      3.370      ?      0.000      <      0.637
ABELL_4038                        23:47:43.180         -28:08:34.81     0.0300      37.93     117.86       1.11       3.30      0.821      ?      0.000      =      0.622
ABELL_4059                        23:57:01.065         -34:45:33.28     0.0475       7.06     203.16       0.88       4.69      6.760      =      1.180      =    159.000
ABELL_S0405                       03:51:32.815         -82:13:10.19     0.0613      16.94     274.22       0.45       4.63      0.000      ?      0.000      =      1.270
ABELL_S0592                       06:38:48.610         -53:58:26.32     0.2216      58.70     195.48       0.99       8.24      0.000      ?      0.000      <      4.300
AC_114                            22:58:48.316         -34:48:08.20     0.3120     199.79      69.99       1.50       6.99     11.000      ?      0.000      <      6.940
AWM7                              02:54:27.631         +41:34:47.07     0.0172       8.37     227.59       0.80       3.71      4.070      ?      0.000      <      0.018
CENTAURUS                         12:48:49.267         -41:18:39.54     0.0109       2.25     474.86       1.33       3.96      1.740      =      1.500      =      7.380
CID_0072                          17:33:03.247         +43:45:37.28     0.0344       9.45     133.25       0.99       2.88      0.000      =      0.106      =      0.358
CL_J1226.9+3332                   12:26:58.373         +33:32:47.36     0.8900     166.03      99.00       1.41      10.40     31.000      ?      0.000      =    190.000
CYGNUS_A                          19:59:28.381         +40:44:01.98     0.0561      23.64     210.12       1.57      10.40      2.180      =     21.300      =  63700.000
ESO_3060170                       05:40:06.687         -40:50:12.82     0.0358       7.98    1400.88       1.80       2.79      0.238      ?      0.000      =      0.293
ESO_5520200                       04:54:52.318         -18:06:56.52     0.0314       5.89     121.77       0.67       2.34      0.090      ?      0.000      <      0.062
EXO_0422-086                      04:25:51.271         -08:33:36.42     0.0397      13.77     193.82       1.25       3.28      0.738      <      0.011      =      4.520
HCG_0062                          12:53:05.741         -09:12:15.64     0.0146       3.44     219.02       1.28       1.10      0.081      =      0.038      =      0.020
HCG_42                            10:00:14.234         -19:38:10.77     0.0133       1.85     126.46       0.87       0.70      0.018      ?      0.000      =      0.009
HERCULES_A                        16:51:08.161         +04:59:32.44     0.1541       9.17     143.89       1.07       4.15      3.480      =      1.300      =  55200.000
HYDRA_A                           09:18:05.985         -12:05:43.94     0.0549      13.31     114.92       1.03       4.30      2.630      =      9.610      =   2890.000
M49                               12:29:46.841         +08:00:01.98     0.0033       0.91     495.33       1.14       1.33      0.000      ?      0.000      =      0.046
M87                               12:30:49.383         +12:23:28.67     0.0044       3.53     146.60       0.80       2.50      0.000      =      0.103      =     47.000
MACS_J0011.7-1523                 00:11:42.965         -15:23:20.79     0.3600      18.83     109.14       1.04       5.42     11.000      ?      0.000      =    152.000
MACS_J0035.4-2015                 00:35:26.573         -20:15:46.06     0.3644      93.42      76.40       1.26       7.39     19.800      ?      0.000      <     12.600
MACS_J0159.8-0849                 01:59:49.453         -08:50:00.90     0.4050      18.79     123.87       1.31       9.59     26.500      ?      0.000      =    237.000
MACS_J0242.5-2132                 02:42:35.906         -21:32:26.30     0.3140      10.92      74.59       1.29       6.22     12.900      ?      0.000      =   4450.000
MACS_J0257.1-2325                 02:57:09.130         -23:26:05.85     0.5053     234.47     195.81       1.39      10.50     21.900      ?      0.000      <     27.500
MACS_J0257.6-2209                 02:57:41.024         -22:09:11.12     0.3224     155.91      82.11       1.55       7.40     10.900      ?      0.000      <      9.440
MACS_J0308.9+2645                 03:08:55.927         +26:45:38.34     0.3240     212.76      70.07       1.43       7.37     20.600      ?      0.000      <      9.550
MACS_J0329.6-0211                 03:29:41.681         -02:11:47.67     0.4500      11.13      96.68       1.26       6.85     13.000      ?      0.000      =     57.400
MACS_J0417.5-1154                 04:17:34.686         -11:54:32.71     0.4400      27.08      99.69       1.42      11.30     38.200      ?      0.000      =    235.000
MACS_J0429.6-0253                 04:29:36.088         -02:53:09.02     0.3990      17.17      88.87       1.23       6.76     11.700      ?      0.000      =    866.000
MACS_J0520.7-1328                 05:20:42.052         -13:28:49.38     0.3398      88.59      84.92       1.20       6.27      9.630      ?      0.000      =    397.000
MACS_J0547.0-3904                 05:47:01.582         -39:04:28.24     0.2100      23.14     121.59       1.20       2.96      1.620      ?      0.000      =     44.400
MACS_J0717.5+3745                 07:17:31.654         +37:45:18.52     0.5480     220.15     160.08       0.76      10.50     46.900      ?      0.000      <     33.500
MACS_J0744.8+3927                 07:44:52.802         +39:27:24.41     0.6860      42.38     112.02       1.11      11.29     24.900      ?      0.000      <     58.000
MACS_J1115.2+5320                 11:15:15.632         +53:20:03.31     0.4390     292.28      27.56       1.73       8.03     14.300      ?      0.000      <     19.600
MACS_J1115.8+0129                 11:15:52.048         +01:29:56.56     0.3521      14.76     107.65       1.31       9.26      1.490      ?      0.000      =      6.670
MACS_J1131.8-1955                 11:31:54.580         -19:55:44.54     0.3070      97.26     156.32       1.15       8.30     17.600      ?      0.000      <      8.420
MACS_J1149.5+2223                 11:49:35.856         +22:23:55.02     0.5440     280.69      33.13       1.47       8.40      2.530      ?      0.000      <      2.380
MACS_J1206.2-0847                 12:06:12.276         -08:48:02.40     0.4400      69.04      94.69       1.28       7.88     37.300      ?      0.000      =   1270.000
MACS_J1311.0-0310                 13:11:01.665         -03:10:39.50     0.4940      47.36      63.47       1.62       8.00     10.200      ?      0.000      <     26.000
MACS_J1621.3+3810                 16:21:24.801         +38:10:08.65     0.4610      20.08     129.83       1.18       7.53     11.600      ?      0.000      =     77.500
MACS_J1931.8-2634                 19:31:49.656         -26:34:33.99     0.3520      14.56      87.52       1.27       7.50     23.400      ?      0.000      <     11.600
MACS_J2049.9-3217                 20:49:56.245         -32:16:52.30     0.3254     195.85      92.71       1.06       6.98      8.710      ?      0.000      <      9.640
MACS_J2211.7-0349                 22:11:45.856         -03:49:37.24     0.2700     165.49      78.26       1.59      10.51     22.200      ?      0.000      <      6.260
MACS_J2214.9-1359                 22:14:57.467         -14:00:09.35     0.5026     297.70     171.96       1.46       8.80     24.200      ?      0.000      <     27.100
MACS_J2228+2036                   22:28:33.872         +20:37:18.31     0.4120     118.79     107.22       1.00       8.40     18.100      ?      0.000      <     16.800
MACS_J2229.7-2755                 22:29:45.358         -27:55:38.41     0.3240      12.39      74.97       1.36       5.50      9.600      ?      0.000      =     27.900
MACS_J2245.0+2637                 22:45:04.657         +26:38:03.46     0.3040      42.03     105.93       1.33       5.10      9.470      ?      0.000      =     19.100
MKW3S                             15:21:51.930         +07:42:31.97     0.0450      23.94     131.08       0.96       3.50      1.140      =      1.690      =      0.588
MKW_04                            12:04:27.218         +01:53:42.79     0.0198       6.86     392.70       1.26       2.16      0.029      ?      0.000      <      0.024
MKW_08                            14:40:39.633         +03:28:13.61     0.0270     130.68     228.51       0.87       3.29      0.851      ?      0.000      <      0.036
MS_0016.9+1609                    00:18:33.503         +16:26:12.99     0.5410     162.07      64.17       1.29       9.90     33.200      ?      0.000      <     32.400
MS_0116.3-0115                    01:18:53.944         -01:00:07.54     0.0452      12.77     220.80       0.63       1.84      0.000      ?      0.000      =      0.167
MS_0440.5+0204                    04:43:09.952         +02:10:18.70     0.1900      25.46     164.03       1.11       5.02      2.210      =    124.000      <      2.240
MS_0451.6-0305                    04:54:11.004         -03:00:52.19     0.5386     568.13      15.61       2.81       8.62     33.600      ?      0.000      <     32.100
MS_0735.6+7421                    07:41:44.245         +74:14:38.23     0.2160      15.96     106.79       1.14       5.45      7.650      =    124.000      =     31.800
MS_0839.8+2938                    08:42:55.969         +29:27:26.97     0.1940      19.19     105.79       1.33       3.80      3.130      =     64.700      =     29.200
MS_0906.5+1110                    09:09:12.753         +10:58:32.00     0.1630     104.23      97.32       1.15       8.10      4.690      <      6.380      <      2.010
MS_1006.0+1202                    10:08:47.462         +11:47:36.31     0.2210     160.28      82.81       1.32       7.03      4.810      <      8.680      <      3.140
MS_1008.1-1224                    10:10:32.312         -12:39:56.80     0.3010      97.62     262.05       0.76       7.47      8.530      <     19.700      <      8.040
MS_1455.0+2232                    14:57:15.088         +22:20:32.49     0.2590      16.88      81.47       1.39       4.51     10.400      ?      0.000      =     37.500
MS_2137.3-2353                    21:40:15.178         -23:39:40.71     0.3130      14.68      89.85       1.39       6.30     11.400      ?      0.000      =     13.400
MS_J1157.3+5531                   11:59:52.295         +55:32:05.61     0.0810       5.93     277.01       1.45       2.91      0.124      ?      0.000      <      0.444
NGC_0507                          01:23:39.905         +33:15:21.73     0.0164       0.00      99.89       0.65       1.40      0.240      ?      0.000      =      0.324
NGC_4636                          12:42:49.856         +02:41:15.86     0.0031       1.42   11962.07       1.96       0.66      0.000      ?      0.000      =      0.014
NGC_5044                          13:15:23.947         -16:23:07.62     0.0090       2.28      82.15       0.96       1.22      0.209      ?      0.000      =      0.054
NGC_5813                          15:01:11.260         +01:42:07.23     0.0066       1.38     102.51       0.91       0.76      0.026      ?      0.000      =      0.012
NGC_5846                          15:06:29.289         +01:36:20.13     0.0057       1.83     685.78       1.44       0.64      0.019      ?      0.000      =      0.013
OPHIUCHUS                         17:12:27.731         -23:22:06.74     0.0280       8.95     247.48       0.73      11.79      2.780      ?      0.000      =      0.566
PKS_0745-191                      07:47:31.436         -19:17:39.78     0.1028      12.41     110.70       1.39       8.50     21.600      =     28.000      =    700.000
RBS_0461                          03:41:17.490         +15:23:54.66     0.0290      95.67      68.80       1.39       2.60      0.000      <      0.088      =      0.308
RBS_0533                          04:19:38.105         +02:24:35.54     0.0123       2.22     164.34       1.00       1.29      0.000      <      0.016      =      0.061
RBS_0797                          09:47:12.693         +76:23:13.40     0.3540      19.49      97.67       1.67       6.43     26.300      ?      0.000      =    102.000
RCS_J2327-0204                    23:27:27.524         -02:04:39.01     0.2000      68.55     217.20       1.28       7.06      0.000      ?      0.000      <      2.510
RXCJ0331.1-2100                   03:31:06.020         -21:00:32.93     0.1880      11.40     134.10       1.30       4.61      0.000      ?      0.000      =    147.000
RXC_J1023.8-2715                  10:23:50.196         -27:15:23.77     0.0963      20.86     255.29       1.45       8.43      0.000      ?      0.000      ?      0.000
RX_J0220.9-3829                   02:20:56.582         -38:28:51.21     0.2287      43.00     159.95       1.23       4.86      0.000      ?      0.000      <      3.400
