,Name , K0 , err_minus , err_plus , K100 , err_minus .1, err_plus .1, alpha , err_minus .2, err_plus,Name,z,c500,err.7,c,err.8,K_fit_range,RA,DEC,
63,ABELL_2125,171.2476676,17.88278604,17.88278604,25.36763297,19.66711515,19.66711515,1.588335272,0.272127086,0.272127086,ABELL_2125,0.2465,2.446,0.663,-,-,0,15:41:14.155      ,66:15:57.20       ,
5,ABELL_2146,85.69549464,4.203953857,4.203953857,66.39619174,6.028093562,6.028093562,1.890605319,0.078247325,0.078247325,ABELL_2146,0.2343,1.888,0.064,8.907,0.109,20,15:56:12.295      ,66:21:05.88       ,
255,ABELL_2147,163.0075039,18.55578496,18.55578496,78.33161079,36.31344641,36.31344641,1.411362367,0.378379501,0.378379501,ABELL_2147,0.035,1.322,0.229,4.323,0.155,20,16:02:17.026      ,15:58:28.31       ,
160,ABELL_2151,6.425500173,3.10171765,3.10171765,150.802038,5.699385428,5.699385428,0.790629211,0.055755155,0.055755155,ABELL_2151,0.0366,4.052,0.327,22.443,0.646,0,16:04:35.887      ,17:43:17.36       ,
144,ABELL_2187,91.55583415,19.02087436,19.02087436,108.7355301,26.69971343,26.69971343,1.19362212,0.16324723,0.16324723,ABELL_2187,0.1836,10.266,0.592,13.317,0.719,0,16:24:14.018      ,41:14:37.54       ,
169,ABELL_2204,7.763172551,0.351268608,0.351268608,144.8307681,3.20899054,3.20899054,1.509153738,0.027684648,0.027684648,ABELL_2204,0.1522,9.453,0.084,12.344,0.083,55,16:32:46.920      ,5:34:32.84        ,
36,ABELL_2219,258.4895274,19.76304851,19.76304851,49.42749109,17.9303475,17.9303475,1.457676404,0.188624185,0.188624185,ABELL_2219,0.2256,1.493,0.063,3.904,0.048,20,16:40:20.112      ,46:42:42.84       ,
87,Abell_222,148.8488644,21.54529917,21.54529917,48.21759284,37.96699029,37.96699029,1.361622615,0.395130489,0.395130489,Abell_222,0.211,1.631,0.28,8.646,0.48,5,1:37:34.562       ,-12:59:34.87      ,
205,Abell_223,101.8081873,21.11475979,21.11475979,120.946003,31.3297389,31.3297389,1.022688219,0.160265877,0.160265877,Abell_223,0.207,4.438,0.326,19.136,0.908,0,1:37:55.963       ,-12:49:10.52      ,
27,ABELL_2256,111.0923316,33.40849985,33.40849985,159.1184435,57.04831526,57.04831526,0.764364464,0.271554817,0.271554817,ABELL_2256,0.0581,1.149,0.105,1.885,0.042,20,17:03:44.568      ,78:38:11.51       ,
301,ABELL_2261,41.81764847,9.759130386,9.759130386,139.2876184,14.83233863,14.83233863,0.898581381,0.069824354,0.069824354,ABELL_2261,0.224,6.889,0.217,9.451,0.247,10,17:22:27.254      ,32:07:58.58       ,
261,Abell_2276,24.17276959,11.03472069,11.03472069,132.5971696,18.92824002,18.92824002,0.817660461,0.124838824,0.124838824,Abell_2276,0.1406,7.271,0.522,-,-,0,17:35:04.631      ,64:06:06.05       ,
78,ABELL_2294,58.44618794,48.43142189,48.43142189,216.6532083,77.18367284,77.18367284,0.724366301,0.174213736,0.174213736,ABELL_2294,0.1694,5.294,0.346,6.624,0.375,0,17:24:10.150      ,85:53:09.78       ,
278,ABELL_2302,190.543733,77.38216506,77.38216506,121.0209178,139.1101997,139.1101997,0.764308357,0.417570195,0.417570195,ABELL_2302,0.179,2.375,0.483,-,-,0,18:19:58.020      ,57:09:22.09       ,
